2025-09-27 23:55:58 | INFO | RESPONSE | GET / | Status: 302 | Time: 0.009s
2025-09-27 23:57:41 | INFO | REQUEST | GET /.well-known/appspecific/com.chrome.devtools.json | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0
2025-09-27 23:57:42 | INFO | RESPONSE | GET /.well-known/appspecific/com.chrome.devtools.json | Status: 404 | Time: 0.166s
2025-09-28 00:02:36 | INFO | REQUEST | HEAD / | IP: 127.0.0.1 | User-Agent: curl/8.15.0
2025-09-28 00:02:36 | INFO | RESPONSE | HEAD / | Status: 302 | Time: 0.014s
2025-09-28 00:03:09 | INFO | REQUEST | GET /login | IP: 127.0.0.1 | User-Agent: curl/8.15.0
2025-09-28 00:03:09 | INFO | RESPONSE | GET /login | Status: 200 | Time: 0.018s
2025-09-28 00:03:33 | INFO | REQUEST | GET / | IP: 127.0.0.1 | User-Agent: curl/8.15.0
2025-09-28 00:03:33 | INFO | RESPONSE | GET / | Status: 302 | Time: 0.005s
2025-09-28 00:04:31 | INFO | REQUEST | POST /login | IP: 127.0.0.1 | User-Agent: curl/8.15.0
2025-09-28 00:04:31 | INFO | RESPONSE | POST /login | Status: 302 | Time: 0.043s
2025-09-28 00:04:52 | INFO | REQUEST | GET /dashboard | IP: 127.0.0.1 | User-Agent: curl/8.15.0
2025-09-28 00:08:38 | INFO | REQUEST | POST /login | IP: 127.0.0.1 | User-Agent: curl/8.15.0
2025-09-28 00:08:38 | INFO | RESPONSE | POST /login | Status: 302 | Time: 0.010s
2025-09-28 00:08:43 | INFO | REQUEST | GET /dashboard | IP: 127.0.0.1 | User-Agent: curl/8.15.0
2025-09-28 00:11:26 | INFO | REQUEST | POST /login | IP: 127.0.0.1 | User-Agent: curl/8.15.0
2025-09-28 00:11:26 | INFO | RESPONSE | POST /login | Status: 302 | Time: 0.020s
2025-09-28 00:11:31 | INFO | REQUEST | GET /dashboard | IP: 127.0.0.1 | User-Agent: curl/8.15.0
2025-09-28 00:12:44 | INFO | REQUEST | GET / | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0
2025-09-28 00:12:44 | INFO | RESPONSE | GET / | Status: 302 | Time: 0.008s
2025-09-28 00:12:44 | INFO | REQUEST | GET /dashboard | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0
2025-09-28 00:12:45 | INFO | RESPONSE | GET /dashboard | Status: 200 | Time: 0.798s
2025-09-28 00:13:07 | INFO | REQUEST | GET /dashboard | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0
2025-09-28 00:13:07 | INFO | RESPONSE | GET /dashboard | Status: 200 | Time: 0.347s
2025-09-28 00:13:11 | INFO | REQUEST | GET /project/2 | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0
2025-09-28 00:13:18 | INFO | REQUEST | GET /project-management | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0
2025-09-28 00:13:18 | INFO | RESPONSE | GET /project-management | Status: 200 | Time: 0.178s
2025-09-28 00:13:28 | INFO | REQUEST | GET /dashboard | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0
2025-09-28 00:13:28 | INFO | RESPONSE | GET /dashboard | Status: 200 | Time: 0.108s
2025-09-28 00:13:52 | INFO | REQUEST | GET /access-request/admin | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0
2025-09-28 00:13:52 | INFO | RESPONSE | GET /access-request/admin | Status: 200 | Time: 0.051s
2025-09-28 00:14:05 | INFO | REQUEST | GET /login | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0
2025-09-28 00:14:06 | INFO | RESPONSE | GET /login | Status: 200 | Time: 0.021s
2025-09-28 00:14:12 | INFO | REQUEST | POST /login | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0
2025-09-28 00:14:12 | INFO | RESPONSE | POST /login | Status: 302 | Time: 0.018s
2025-09-28 00:14:12 | INFO | REQUEST | GET /dashboard | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0
2025-09-28 00:14:12 | INFO | RESPONSE | GET /dashboard | Status: 200 | Time: 0.077s
2025-09-28 00:18:41 | INFO | REQUEST | GET /login | IP: 127.0.0.1 | User-Agent: curl/8.15.0
2025-09-28 00:18:41 | INFO | RESPONSE | GET /login | Status: 200 | Time: 0.049s
2025-09-28 00:18:47 | INFO | REQUEST | GET /access-request/new_user | IP: 127.0.0.1 | User-Agent: curl/8.15.0
2025-09-28 00:18:47 | INFO | RESPONSE | GET /access-request/new_user | Status: 302 | Time: 0.003s
2025-09-28 00:19:02 | INFO | REQUEST | POST /login | IP: 127.0.0.1 | User-Agent: curl/8.15.0
2025-09-28 00:19:02 | INFO | RESPONSE | POST /login | Status: 302 | Time: 0.019s
2025-09-28 00:19:14 | INFO | REQUEST | GET /dashboard | IP: 127.0.0.1 | User-Agent: curl/8.15.0
2025-09-28 00:19:14 | INFO | RESPONSE | GET /dashboard | Status: 200 | Time: 0.202s
2025-09-28 00:20:05 | INFO | REQUEST | GET /logout | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0
2025-09-28 00:20:05 | INFO | RESPONSE | GET /logout | Status: 302 | Time: 0.006s
2025-09-28 00:20:05 | INFO | REQUEST | GET / | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0
2025-09-28 00:20:05 | INFO | RESPONSE | GET / | Status: 302 | Time: 0.011s
2025-09-28 00:20:05 | INFO | REQUEST | GET /login | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0
2025-09-28 00:20:05 | INFO | RESPONSE | GET /login | Status: 200 | Time: 0.003s
2025-09-28 00:20:08 | INFO | REQUEST | GET /access-request/new_user | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0
2025-09-28 00:20:08 | INFO | RESPONSE | GET /access-request/new_user | Status: 302 | Time: 0.012s
2025-09-28 00:20:08 | INFO | REQUEST | GET /login | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0
2025-09-28 00:20:08 | INFO | RESPONSE | GET /login | Status: 200 | Time: 0.002s
2025-09-28 00:20:22 | INFO | REQUEST | GET /access-request/new_user | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0
2025-09-28 00:20:22 | INFO | RESPONSE | GET /access-request/new_user | Status: 302 | Time: 0.003s
